frame_id,elapsed_start_seconds,sum_tbt_debt,sum_ttft_debt,selected_budget,predicted_duration_seconds,actual_duration_seconds,prediction_error_seconds,action,selected_template,current_prefill_count,current_decode_count
127,16.277038769,0.0,0.0,0,0.12742354056897195,0.128194325,0.0007707844310280432,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
128,16.405233094,0.0,0.0,0,0.12743467149691629,0.127008145,-0.0004265264969162963,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
129,16.532241239,0.0,0.0,0,0.12743542299910082,0.127272625,-0.00016279799910082215,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
130,16.659513864,0.0,0.0,0,0.1274384600175538,0.127485635,4.717498244621865e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
131,16.786999499,0.0,0.0,0,0.12744328825991635,0.127918564,0.00047527574008365825,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
132,16.914918063000002,0.0,0.0,0,0.12745171062827737,0.127855155,0.0004034443717226277,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
133,17.042773218,0.0,0.0,0,0.12745950111895868,0.127548819,8.931788104132865e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
134,17.170322037000002,0.0,0.0,0,0.1274646677377122,0.127794355,0.00032968726228779777,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
135,17.298116392,0.0,0.0,0,0.12747179854707386,0.127931125,0.00045932645292615093,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
136,17.426047517,0.0,0.0,0,0.12747996136289477,0.126916239,-0.0005637223628947863,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
137,17.552963756,0.0,0.0,0,0.1274798436690892,0.127151649,-0.0003281946690892046,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
138,17.680115405000002,0.0,0.0,0,0.1274816465660179,0.127395522,-8.61245660178922e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
139,17.807510927000003,0.0,0.0,0,0.12748539149188917,0.128560487,0.0010750955081108293,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
140,17.936071414000004,0.0,0.0,0,0.12749828526534485,0.126690191,-0.0008080942653448386,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
141,18.062761605000006,0.0,0.0,0,0.1274964004832157,0.127372242,-0.00012415848321570278,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
142,18.190133847000006,0.0,0.0,0,0.12749254896996948,0.127227169,-0.0002653799699694759,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
143,18.317361016000007,0.0,0.0,0,0.12748959812558688,0.127398065,-9.153312558687898e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
144,18.444759081000008,0.0,0.0,0,0.1274824104186791,0.127587218,0.00010480758132089263,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
145,18.572346299000007,0.0,0.0,0,0.12749035983398804,0.127276049,-0.00021431083398804063,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
146,18.699622348000005,0.0,0.0,0,0.12749661153590816,0.12786434,0.00036772846409183213,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
147,18.827486688000004,0.0,0.0,0,0.12750698431192498,0.126730318,-0.0007766663119249673,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
148,18.954217006000004,0.0,0.0,0,0.1274993915384081,0.127548322,4.8930461591878416e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,6
149,19.081765328000003,0.0,0.03549015522003174,272,0.10998936318549563,0.161524848,0.05153548481450437,MIXED,ALL_DECODE:P25:requested_272,1,6
150,19.243290176000002,0.0,0.0,612,0.20906202605264557,0.236351613,0.02728958694735442,MIXED,ALL_DECODE:P75:requested_612,1,6
151,19.479641789000002,0.0,0.0,205,0.09425009143269364,0.157446749,0.06319665756730636,MIXED,ALL_DECODE:MAX:requested_205,1,6
152,19.637088538,0.0,0.0,0,0.12848185985404725,0.130718769,0.002236909145952759,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
153,19.767807307,0.0,0.0,0,0.12850613229377914,0.128954201,0.0004480687062208555,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
154,19.896761508,0.0,0.0,0,0.12852060796387077,0.128213365,-0.0003072429638707741,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
155,20.024974873,0.0,0.0,0,0.1285034570058835,0.128665543,0.00016208599411648983,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
156,20.153640416000002,0.0,0.0,0,0.12850550493479754,0.128936713,0.0004312080652024708,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
157,20.282577129000003,0.0,0.0,0,0.12850610554012581,0.128267269,-0.00023883654012582523,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
158,20.410844398000002,0.0,0.0,0,0.1285124344553957,0.127810259,-0.0007021754553956927,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
159,20.538654657000002,0.0,0.0,0,0.12850922512536944,0.127778611,-0.0007306141253694554,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
160,20.666433268000002,0.0,0.0,0,0.12851106798010234,0.129683628,0.001172560019897656,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
161,20.796116896,0.0,0.0,0,0.1285288935897642,0.128462822,-6.607158976418281e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
162,20.924579718,0.0,0.0,0,0.1285373178135284,0.12839895,-0.0001383678135283839,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
163,21.052978668,0.0,0.0,0,0.128538627800013,0.127946083,-0.0005925448000130007,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
164,21.180924751000003,0.0,0.0,0,0.12854256359582547,0.128474246,-6.831759582548447e-05,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
165,21.309398997000002,0.0,0.0,0,0.12854886469348886,0.127517265,-0.0010315996934888716,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
166,21.436916262000004,0.0,0.0,0,0.12854801342103356,0.128357846,-0.0001901674210335602,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
167,21.565274108000004,0.0,0.0,0,0.12854932320838727,0.127975843,-0.000573480208387267,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
168,21.693249951000006,0.0,0.0,0,0.12855432180519588,0.128823591,0.00026926919480410594,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
169,21.822073542000005,0.0,0.0,0,0.12856497221889418,0.128180293,-0.00038467921889417944,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
170,21.950253835000005,0.0,0.0,0,0.12856867878596204,0.128816167,0.00024748821403797194,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
171,22.079070002000005,0.0,0.0,0,0.12857068137413208,0.128274597,-0.00029608437413208843,DECODE_ONLY,ALL_DECODE:ZERO:requested_0,0,7
